question,sentence,answer
what do jehovah witnesses believe,"Jehovah's Witnesses' beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures .","their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures"
what do jehovah witnesses believe,"Jehovah's Witnesses' beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures .","beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures"
what do jehovah witnesses believe,"They believe that the destruction of the present world system at Armageddon is imminent, and that the establishment of God's kingdom on earth is the only solution for all problems faced by mankind.","the destruction of the present world system at Armageddon is imminent, and that the establishment of God's kingdom on earth is the only solution for all problems faced by mankind"
what do jehovah witnesses believe,"They believe that the destruction of the present world system at Armageddon is imminent, and that the establishment of God's kingdom on earth is the only solution for all problems faced by mankind.","They believe that the destruction of the present world system at Armageddon is imminent, and that the establishment of God's kingdom on earth is the only solution for all problems faced by mankind"
how old old is xp operating system,"Windows XP was released worldwide for retail sale on October 25, 2001, and over 400 million copies were in use in January 2006.","released worldwide for retail sale on October 25, 2001"
how old old is xp operating system,"Windows XP was released worldwide for retail sale on October 25, 2001, and over 400 million copies were in use in January 2006.","was released worldwide for retail sale on October 25, 2001"
how many pawns in chess,"In chess, each player begins the game with eight pawns, one on each square of the rank immediately in front of the other pieces.",each player begins the game with eight pawns
how many pawns in chess,"In chess, each player begins the game with eight pawns, one on each square of the rank immediately in front of the other pieces.",each player begins the game with eight pawns
what countries allow gays to openly serve in the military,"Nations that permit gay people to serve openly in the military include the 4 of the 5 members of the UN Security Council (United States, United Kingdom, France, and Russia), the Republic of China (Taiwan), Australia , Israel , South Africa , Argentina , and all NATO members excluding Turkey .","United States, United Kingdom, France, and Russia), the Republic of China (Taiwan), Australia , Israel , South Africa , Argentina , and all NATO members excluding Turkey"
what countries allow gays to openly serve in the military,"Nations that permit gay people to serve openly in the military include the 4 of the 5 members of the UN Security Council (United States, United Kingdom, France, and Russia), the Republic of China (Taiwan), Australia , Israel , South Africa , Argentina , and all NATO members excluding Turkey .","Nations that permit gay people to serve openly in the military include the 4 of the 5 members of the UN Security Council (United States, United Kingdom, France, and Russia), the Republic of China (Taiwan), Australia , Israel , South Africa , Argentina , and all NATO members excluding Turkey"
